"Freq [GHz]","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='10mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='11mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='12mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='13mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='14mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='15mm'"
1.176,-5.56079498443092,-4.03947439927008,-2.67380742630521,-1.91611361026531,-0.587780160516196,-1.56896997221479
1.177,-5.51133223478305,-3.98823974813354,-2.67520216010004,-1.89623764794856,-0.58408628615357,-1.56570934137826
1.178,-5.46131721674883,-3.93771074319889,-2.67658311125293,-1.87670963614876,-0.580479545277944,-1.56249764755641
1.179,-5.41081364426265,-3.887887189431,-2.67795031473353,-1.85752294558362,-0.576958145182565,-1.55933476006803
1.18,-5.35988329352315,-3.83876813358678,-2.67930381249519,-1.83867109228864,-0.5735203500715,-1.55622055210716
1.181,-5.30858591892452,-3.79035192062873,-2.68064365362884,-1.82014773454432,-0.570164479113752,-1.55315490075564
1.182,-5.25697918544635,-3.74263624709999,-2.68196989451726,-1.80194666985376,-0.566888904578023,-1.55013768699609
1.183,-5.20511861648454,-3.69561821157237,-2.6832825989897,-1.78406183197139,-0.563692050044427,-1.54716879572526
1.184,-5.15305755606443,-3.64929436228137,-2.68458183847668,-1.76648728798313,-0.560572388689684,-1.54424811576785
1.185,-5.10084714435368,-3.60366074206251,-2.68586769216495,-1.74921723543839,-0.557528441642427,-1.54137553989077
1.186,-5.04853630538634,-3.55871293070293,-2.68714024715249,-1.73224599953399,-0.554558776405517,-1.53855096481784
1.187,-4.996171745917,-3.51444608482173,-2.68839959860352,-1.7155680303502,-0.551662005342371,-1.535774291245
1.188,-4.94379796434342,-3.47085497539045,-2.68964584990326,-1.6991779001388,-0.548836784224443,-1.53304542385603
1.189,-4.89145726866634,-3.42793402300346,-2.69087911281252,-1.68307030066309,-0.546081810837188,-1.53036427133869
1.19,-4.83918980249257,-3.3856773310054,-2.69209950762196,-1.66724004058975,-0.543395823641924,-1.52773074640147
1.191,-4.78703357813225,-3.34407871658005,-2.69330716330581,-1.65168204293211,-0.54077760049118,-1.52514476579087
1.192,-4.73502451589012,-3.30313173990204,-2.69450221767517,-1.63639134254474,-0.538225957395189,-1.52260625030915
1.193,-4.68319648870374,-3.26282973144951,-2.69568481753048,-1.62136308366877,-0.535739747337356,-1.52011512483277
1.194,-4.63158137133557,-3.22316581757266,-2.69685511881339,-1.60659251752779,-0.533317859136582,-1.51767131833129
1.195,-4.5802090933829,-3.18413294440929,-2.69801328675761,-1.5920749999735,-0.530959216354468,-1.51527476388696
1.196,-4.52910769542469,-3.14572390023561,-2.69915949603883,-1.57780598918093,-0.528662776245501,-1.51292539871489
1.197,-4.47830338768078,-3.10793133633622,-2.70029393092353,-1.56378104339248,-0.526427528748415,-1.51062316418382
1.198,-4.42782061061283,-3.0707477864744,-2.7014167854165,-1.54999581871028,-0.524252495517031,-1.5083680058376
1.199,-4.37768209694905,-3.03416568503992,-2.70252826340706,-1.53644606693621,-0.522136728988905,-1.50615987341726
1.2,-4.32790893466586,-2.99817738394829,-2.70362857881386,-1.52312763345897,-0.520079311490284,-1.50399872088383
1.201,-4.27852063050698,-2.96277516836198,-2.70471795572795,-1.51003645518757,-0.518079354375814,-1.50188450644176
1.202,-4.22953517366672,-2.92795127130091,-2.70579662855426,-1.49716855853049,-0.516135997201684,-1.49981719256317
1.203,-4.18096909930667,-2.89369788720599,-2.70686484215122,-1.48452005741989,-0.514248406930773,-1.4977967460127
