"Freq [GHz]","dB(S(WavePort1,WavePort1)) [] - split1x='16mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='17mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='18mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='19mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='20mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='21mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='22mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='23mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='24mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='15mm'"
1.066,-9.99219456276906,-1.68172473550636,-1.2955733062731,-1.13138332137348,-1.48646512511696,-2.69874663194384,-3.01474602063119,-1.30288835191501,-1.04323539393535,-2.27968574043113
1.067,-9.38810799753991,-1.64579331569822,-1.27327316176894,-1.11436349216649,-1.48176274758086,-2.69049065359432,-2.99737541534858,-1.27671176150146,-1.01952789953682,-2.26942889362291
1.068,-8.83401615163505,-1.61100911552958,-1.25157030353693,-1.09776440261689,-1.47710572528969,-2.68221691421308,-2.98007242535342,-1.25143999120737,-0.996477866350346,-2.25925622021246
1.069,-8.3248203394274,-1.57732662476801,-1.23044463962102,-1.08157300502814,-1.47249370303939,-2.67392617032953,-2.96283856153291,-1.22703241834783,-0.974062304643721,-2.24916726749707
1.07,-7.85598381540533,-1.54470246491138,-1.20987688777457,-1.06577674024954,-1.4679263298824,-2.66561917577861,-2.9456752824268,-1.20345066087594,-0.952259129824205,-2.23916158295347
1.071,-7.42349718441392,-1.51309527560765,-1.18984853802823,-1.0503635166199,-1.46340325909002,-2.65729668155281,-2.92858399503697,-1.18065843351766,-0.931047124664977,-2.22923871436489
1.072,-7.02382446036133,-1.48246560782443,-1.17034181719428,-1.03532168992974,-1.45892414811502,-2.64895943565702,-2.91156605564595,-1.15862141431518,-0.910405903008143,-2.21939820994425
1.073,-6.65384556390318,-1.4527758233238,-1.15133965519745,-1.02064004434793,-1.45448865855458,-2.64060818296643,-2.89462277064318,-1.13730712074961,-0.890315874909911,-2.20963961845348
1.074,-6.3108020870932,-1.42399000003001,-1.13282565312844,-1.00630777426162,-1.45009645611345,-2.63224366508739,-2.87775539735773,-1.11668479468546,-0.870758213190347,-2.19996248931895
1.075,-5.99224886783121,-1.39607384290877,-1.11478405292337,-0.992314466981206,-1.44574721056752,-2.62386662022127,-2.8609651448967,-1.09672529544435,-0.851714821348359,-2.19036637274338
1.076,-5.69601192008309,-1.36899460000319,-1.09719970857796,-0.978650086265088,-1.44144059572753,-2.61547778303136,-2.84425317498785,-1.07740100037427,-0.833168302800428,-2.18085081981405
1.077,-5.42015238844816,-1.34272098329775,-1.08005805881097,-0.965304956621293,-1.43717628940322,-2.60707788451286,-2.82762060282575,-1.05868571233442,-0.815101931400975,-2.17141538260757
1.078,-5.16293586072472,-1.31722309410409,-1.06334510109661,-0.952269748345683,-1.43295397336772,-2.59866765186593,-2.8110684979205,-1.04055457356398,-0.79749962320129,-2.16205961429124
1.079,-4.92280629339056,-1.29247235268431,-1.04704736699035,-0.939535463258562,-1.42877333332227,-2.59024780837186,-2.79459788494781,-1.02298398544842,-0.780345909403858,-2.15278306922115
1.08,-4.69836384036821,-1.26844143184709,-1.03115189867738,-0.927093421103802,-1.42463405886124,-2.58181907327227,-2.77820974459993,-1.00595153373598,-0.763625910468784,-2.14358530303694
1.081,-4.48834595538445,-1.24510419426984,-1.01564622667682,-0.914935246576553,-1.42053584343753,-2.57338216165156,-2.76190501443636,-0.989435918795134,-0.747325311329513,-2.13446587275359
1.082,-4.29161122932971,-1.22243563331723,-1.0005183486391,-0.903052856947388,-1.41647838432824,-2.56493778432241,-2.7456845897337,-0.973416890536253,-0.731430337675329,-2.12542433685008
1.083,-4.10712551122242,-1.20041181714189,-0.985756709177398,-0.891438450252762,-1.41246138260064,-2.5564866477144,-2.72954932433367,-0.957875187652042,-0.715927733258965,-2.11646025535503
1.084,-3.93394993870554,-1.17900983586726,-0.971350180677574,-0.880084494023103,-1.40848454307861,-2.54802945376588,-2.7135000314889,-0.94279248085865,-0.700804738188386,-2.10757318992958
1.085,-3.77123056987193,-1.15820775166595,-0.957288045034353,-0.868983714521432,-1.40454757430924,-2.53956689981885,-2.69753748470557,-0.928151319845395,-0.686049068162763,-2.09876270394741
1.086,-3.61818936305333,-1.13798455155967,-0.943559976264421,-0.858129086467199,-1.40065018852987,-2.53109967851714,-2.68166241858231,-0.913935083663858,-0.671648894613696,-2.09002836257201
1.087,-3.47411629625702,-1.11832010277743,-0.930156023950035,-0.847513823220878,-1.39679210163549,-2.52262847770758,-2.66587552964488,-0.900127934308592,-0.657592825713831,-2.0813697328313
1.088,-3.33836245466167,-1.09919511052017,-0.917066597469425,-0.837131367406725,-1.39297303314641,-2.51415398034449,-2.65017747717589,-0.886714773261414,-0.64386988821613,-2.07278638368979
1.089,-3.21033394440939,-1.08059107798929,-0.904282450972714,-0.82697538195198,-1.38919270617632,-2.50567686439711,-2.63456888403913,-0.873681200788485,-0.630469510088254,-2.06427788611806
